scaffold_id,product_id,smiles,inchikey,num_elaborations,is_scaffold,num_routes,route_1_num_steps,route_1_reaction_1_type,route_1_reaction_1_product_smiles,route_1_reaction_1_product_id,route_1_reaction_1_product_yield,route_1_reaction_1_reactant_1_smiles,route_1_reaction_1_reactant_1_id,route_1_reaction_1_reactant_2_smiles,route_1_reaction_1_reactant_2_id,route_2_num_steps,route_2_reaction_1_type,route_2_reaction_1_product_smiles,route_2_reaction_1_product_id,route_2_reaction_1_product_yield,route_2_reaction_1_reactant_1_smiles,route_2_reaction_1_reactant_1_id,route_2_reaction_1_reactant_2_smiles,route_2_reaction_1_reactant_2_id,route_3_num_steps,route_3_reaction_1_type,route_3_reaction_1_product_smiles,route_3_reaction_1_product_id,route_3_reaction_1_product_yield,route_3_reaction_1_reactant_1_smiles,route_3_reaction_1_reactant_1_id,route_3_reaction_1_reactant_2_smiles,route_3_reaction_1_reactant_2_id,route_4_num_steps,route_4_reaction_1_type,route_4_reaction_1_product_smiles,route_4_reaction_1_product_id,route_4_reaction_1_product_yield,route_4_reaction_1_reactant_1_smiles,route_4_reaction_1_reactant_1_id,route_4_reaction_1_reactant_2_smiles,route_4_reaction_1_reactant_2_id
122562,122562,CCS(=O)(=O)c1ccc(OC)c(NC(=O)N2CCCC(C(N)=O)C2)c1,WBSLTZMNEYEYKV-UHFFFAOYSA-N,0,True,1,1,Formation_of_urea_from_two_amines,CCS(=O)(=O)c1ccc(OC)c(NC(=O)N2CCCC(C(N)=O)C2)c1,122562,1.0,NC(=O)C1CCCNC1,62341,CCS(=O)(=O)c1ccc(OC)c(N)c1,122586,,,,,,,,,,,,,,,,,,,,,,,,,,,
122566,122566,CCc1ccccc1CC(=O)N1CCCC(C(N)=O)C1,IFJNGSWSPUXOCR-UHFFFAOYSA-N,0,True,1,1,Amidation,CCc1ccccc1CC(=O)N1CCCC(C(N)=O)C1,122566,1.0,NC(=O)C1CCCNC1,62341,CCc1ccccc1CC(=O)O,122590,,,,,,,,,,,,,,,,,,,,,,,,,,,
124220,124220,O=C(NCCc1cocn1)C1CCc2ccccc21,ZFSYVJFUGWTONQ-UHFFFAOYSA-N,69,True,1,1,Amidation,O=C(NCCc1cocn1)C1CCc2ccccc21,124220,1.0,NCCc1cocn1,122418,O=C(O)C1CCc2ccccc21,125495,,,,,,,,,,,,,,,,,,,,,,,,,,,
124230,124230,NC(=O)C1CCCN(C(=O)Cc2ccccn2)C1,WMWYUEBZLNFETL-UHFFFAOYSA-N,30,True,1,1,Amidation,NC(=O)C1CCCN(C(=O)Cc2ccccn2)C1,124230,1.0,NC(=O)C1CCCNC1,62341,O=C(O)Cc1ccccn1,150352,,,,,,,,,,,,,,,,,,,,,,,,,,,
124231,124231,NC(=O)C1CCCN(C(=O)C2CCOc3ccccc32)C1,RICWRLKMGADZTG-UHFFFAOYSA-N,23,True,1,1,Amidation,NC(=O)C1CCCN(C(=O)C2CCOc3ccccc32)C1,124231,1.0,NC(=O)C1CCCNC1,62341,O=C(O)C1CCOc2ccccc21,146197,,,,,,,,,,,,,,,,,,,,,,,,,,,
124232,124232,NC(=O)C1CCCN(C(=O)Cc2ccn[nH]2)C1,WPGNVVSWAWFFDK-UHFFFAOYSA-N,58,True,1,1,Amidation,NC(=O)C1CCCN(C(=O)Cc2ccn[nH]2)C1,124232,1.0,NC(=O)C1CCCNC1,62341,O=C(O)Cc1ccn[nH]1,133593,,,,,,,,,,,,,,,,,,,,,,,,,,,
124236,124236,NC(=O)C1CCCN(C(=O)C2CCc3ccccc32)C1,QLOUCWDEXUZFHL-UHFFFAOYSA-N,130,True,1,1,Amidation,NC(=O)C1CCCN(C(=O)C2CCc3ccccc32)C1,124236,1.0,NC(=O)C1CCCNC1,62341,O=C(O)C1CCc2ccccc21,125495,,,,,,,,,,,,,,,,,,,,,,,,,,,
124229,112,COc1ccccc1CC(=O)N1CCCC(C(N)=O)C1,OPWHNDXSBIGKDG-UHFFFAOYSA-N,256,False,1,1,Amidation,COc1ccccc1CC(=O)N1CCCC(C(N)=O)C1,112,1.0,NC(=O)C1CCCNC1,62341,COc1ccccc1CC(=O)O,122504,,,,,,,,,,,,,,,,,,,,,,,,,,,
124237,122455,COc1ccccc1CC(=O)N1CCC(C(N)=O)C1,ACVLTQNPXWHBQP-UHFFFAOYSA-N,309,False,2,1,Amidation,COc1ccccc1CC(=O)N1CCC(C(N)=O)C1,122455,1.0,COc1ccccc1CC(=O)O,122504,NC(=O)C1CCNC1,122505,1.0,Amidation,COc1ccccc1CC(=O)N1CCC(C(N)=O)C1,122455.0,1.0,COc1ccccc1CC(=O)O,122504.0,NC(=O)C1CCNC1,122505.0,,,,,,,,,,,,,,,,,,
124233,126117,CC(=O)Nc1ccccc1OCc1ncccn1,OBDQPNJYILCDEQ-UHFFFAOYSA-N,169,False,1,1,Williamson_ether_synthesis,CC(=O)Nc1ccccc1OCc1ncccn1,126117,1.0,ClCc1ncccn1,122500,CC(=O)Nc1ccccc1O,126116,,,,,,,,,,,,,,,,,,,,,,,,,,,
124235,158702,Cc1ccc(CC(=O)N2CCC3C(C2)C3C(N)=O)cc1,CJQYNGGJYUJXOQ-UHFFFAOYSA-N,39,False,1,1,Amidation,Cc1ccc(CC(=O)N2CCC3C(C2)C3C(N)=O)cc1,158702,1.0,Cc1ccc(CC(=O)O)cc1,124422,NC(=O)C1C2CCNCC21,158701,,,,,,,,,,,,,,,,,,,,,,,,,,,
