hippo_id,smiles,inchikey,required_amount_mg,num_poses,poses,tags,num_routes,num_reaction_steps,reaction_dependencies,reactant_dependencies,route_ids,chemistry_types,is_scaffold,scaffold_series,inspirations
124750,CNC(=O)C1CCCN(C(=O)Cc2cccc(I)c2)C1,OSLUDODGDVJTAB-UHFFFAOYSA-N,1,2,"{214852, 214853}",['iter2'],1,{1},[122495],"{124371, 62365}",[2160],Amidation,False,[124229],"A3665a, A4386a, A4202a"
158897,NC(=O)C1C2CCN(C(=O)Cc3ccc(F)cc3)CC21,NCJIHAVXAWGSIZ-UHFFFAOYSA-N,1,8,"{312741, 312742, 312743, 312744, 312745, 312746, 312747, 312748}",['iter2'],1,{1},[157695],"{124356, 158701}",[37337],Amidation,False,[124235],A4018a
156867,CNC(=O)C1CCN(C(=O)C(O)c2cccc(N)c2)C1,GQUZCHFRBYBPOE-UHFFFAOYSA-N,1,4,"{303168, 303169, 303170, 303167}",['iter2'],1,{1},[155708],"{155450, 124445}",[35352],Amidation,False,[124237],A4317a
125522,NC(=O)C1(F)CCCN(C(=O)Cc2ccc(Cl)cc2)C1,NJQITZYILINPDZ-UHFFFAOYSA-N,1,4,"{217240, 222472, 222471, 217239}",['iter2'],1,{1},[123250],"{62363, 124323}",[2913],Amidation,False,[124229],"A3665a, A4386a, A4202a"
156407,NC(=O)C1(F)CCN(C(=O)Cc2ccc(Cl)cc2)C1,UTJNTHAQRWVCLW-UHFFFAOYSA-N,1,2,"{301494, 301495}",['iter2'],1,{1},[155254],"{155369, 124323}",[34898],Amidation,False,[124237],A4317a
152006,NC(=O)C1(NC(=O)Cc2ncccc2F)CCCNC1,SLGAQMPXVDMAOM-UHFFFAOYSA-N,1,2,"{279666, 279667}",['iter2'],1,{1},[150966],"{62347, 150419}",[30612],Amidation,False,[124230],A4283a
124751,CC1CC(C(N)=O)CN(C(=O)Cc2cccc(I)c2)C1,PVSSCHGUBMZBDI-UHFFFAOYSA-N,1,7,"{220131, 220132, 220133, 214854, 214855, 214856, 214857}",['iter2'],1,{1},[122496],"{62371, 124371}",[2161],Amidation,False,[124229],"A3665a, A4386a, A4202a"
156503,CNC(=O)C1CCN(C(=O)Cc2cccc(Cl)c2)C1,PGNAYOQRKILETK-UHFFFAOYSA-N,1,2,"{301800, 301801}",['iter2'],1,{1},[155347],"{155450, 124286}",[34991],Amidation,False,[124237],A4317a
125041,CC1CC(C(N)=O)CN(C(=O)Cc2cccc(Cl)c2)C1,BRVUJMUMLSJYAF-UHFFFAOYSA-N,1,7,"{220904, 220905, 220906, 215640, 215641, 215642, 215643}",['iter2'],1,{1},[122784],"{62371, 124286}",[2448],Amidation,False,[124229],"A3665a, A4386a, A4202a"
156771,CC1(C(N)=O)CCN(C(=O)Cc2ccccc2I)C1,WRDOBJSGNAHYGI-UHFFFAOYSA-N,1,2,"{302723, 302724}",['iter2'],1,{1},[155614],"{124434, 155412}",[35258],Amidation,False,[124237],A4317a
150414,NC(=O)C1CCCN(C(=O)Cc2cccc(Cl)n2)C1,USKVKLAKXPUGDF-UHFFFAOYSA-N,1,2,"{274764, 274765}",['iter2'],1,{1},[149435],"{62341, 150406}",[29081],Amidation,False,[124230],A4283a
146392,O=C1NCC2CCN(C(=O)C3CCOc4ccccc43)CC12,OAHXYBHNPAIURH-UHFFFAOYSA-N,1,6,"{258720, 258715, 258716, 258717, 258718, 258719}",['iter2'],1,{1},[145600],"{146197, 62359}",[25248],Amidation,False,[124231],A4260a
125299,O=C1NCC2CCN(C(=O)C3Cc4ccccc43)CC12,RWUSZSCPYCQESO-UHFFFAOYSA-N,1,8,"{216512, 216513, 216514, 216515, 221750, 221751, 221752, 221753}",['iter2'],1,{1},[123036],"{124297, 62359}",[2700],Amidation,False,[124229],"A3665a, A4386a, A4202a"
152325,NC(=O)C1CCCN(C(=O)C2CCc3ccc(Cl)cc32)C1,JOTONTVEIAGCDD-UHFFFAOYSA-N,1,4,"{280864, 280865, 280866, 280863}",['iter2'],1,{1},[151277],"{139977, 62341}",[30923],Amidation,False,[124236],"A3665a, A4386a, A4202a"
135317,CC(Cc1cocn1)NC(=O)N1CCc2ccccc21,VIYLBNBIIUBJOE-UHFFFAOYSA-N,1,2,"{237320, 237319}",['iter2'],1,{1},[133807],"{122427, 122428}",[13468],Formation_of_urea_from_two_amines,False,[122393],A3392a
125051,CNC(=O)C1CCCN(C(=O)Cc2cccc(Cl)c2)C1,QWMHHCSXDLLLHA-UHFFFAOYSA-N,1,2,"{220937, 215674}",['iter2'],1,{1},[122794],"{62365, 124286}",[2458],Amidation,False,[124229],"A3665a, A4386a, A4202a"
125982,O=C1NC2CC1CN(C(=O)Cc1cccc(I)c1)C2,KQIBWGQXKDOCFX-UHFFFAOYSA-N,1,1,{218908},['iter2'],1,{1},[123702],"{62378, 124371}",[3365],Amidation,False,[124229],"A3665a, A4386a, A4202a"
125383,CNC(=O)C1CCCN(C(=O)Cc2cccc(Br)c2)C1,BOYXFCIQQNLYND-UHFFFAOYSA-N,1,3,"{216856, 222093, 222094}",['iter2'],1,{1},[123116],"{62365, 124254}",[2780],Amidation,False,[124229],"A3665a, A4386a, A4202a"
157126,CC1(C(N)=O)CCN(C(=O)C(N)c2ccc(O)cc2)C1,DRRFRXDZFBHXCK-UHFFFAOYSA-N,1,3,"{304328, 304326, 304327}",['iter2'],1,{1},[155967],"{124634, 155412}",[35611],Amidation,False,[124237],A4317a
151429,NC(=O)C1(F)CCCN(C(=O)Cc2cccc(Cl)n2)C1,VGVQSMBFPJWCQM-UHFFFAOYSA-N,1,2,"{277992, 277991}",['iter2'],1,{1},[150405],"{62363, 150406}",[30051],Amidation,False,[124230],A4283a
