target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1
C152455,1,,,,CC1CNCC(C(N)=O)C1,O=C(O)C1CCc2ccccc21,CC1CC(C(N)=O)CN(C(=O)C2CCc3ccccc32)C1,Amidation,,
C124980,1,,,,O=C1NCC2CCNCC12,O=C(O)Cc1ccc(F)cc1,O=C1NCC2CCN(C(=O)Cc3ccc(F)cc3)CC12,Amidation,,
C158756,1,,,,Nc1cccc(CC(=O)O)c1,NC(=O)C1C2CCNCC21,NC(=O)C1C2CCN(C(=O)Cc3cccc(N)c3)CC21,Amidation,,
C158761,1,,,,O=C(O)C1Cc2ccccc21,NC(=O)C1C2CCNCC21,NC(=O)C1C2CCN(C(=O)C3Cc4ccccc43)CC21,Amidation,,
C122856,1,,,,CNC(=O)C1CCCNC1,O=C(O)C1CSc2ccccc21,CNC(=O)C1CCCN(C(=O)C2CSc3ccccc32)C1,Amidation,,
C158767,1,,,,O=C(O)Cc1ccc(Cl)cc1,NC(=O)C1C2CCNCC21,NC(=O)C1C2CCN(C(=O)Cc3ccc(Cl)cc3)CC21,Amidation,,
C158769,1,,,,O=C(O)Cc1cccc(Br)c1,NC(=O)C1C2CCNCC21,NC(=O)C1C2CCN(C(=O)Cc3cccc(Br)c3)CC21,Amidation,,
C122859,1,,,,NC(=O)C1(O)CCCNC1,O=C(O)C1CSc2ccccc21,NC(=O)C1(O)CCCN(C(=O)C2CSc3ccccc32)C1,Amidation,,
C124988,1,,,,CC1CNCC(C(N)=O)C1,Cc1ccccc1CC(=O)O,Cc1ccccc1CC(=O)N1CC(C)CC(C(N)=O)C1,Amidation,,
C124989,1,,,,CC1CCC(C(N)=O)CN1,Cc1ccccc1CC(=O)O,Cc1ccccc1CC(=O)N1CC(C(N)=O)CCC1C,Amidation,,
C124993,1,,,,NC(=O)C1(F)CCCNC1,Cc1ccccc1CC(=O)O,Cc1ccccc1CC(=O)N1CCCC(F)(C(N)=O)C1,Amidation,,
C152482,1,,,,CNC(=O)C1CCCNC1,O=C(O)C1CCc2ccccc21,CNC(=O)C1CCCN(C(=O)C2CCc3ccccc32)C1,Amidation,,
C158784,1,,,,O=C(O)C(Br)c1ccccc1,NC(=O)C1C2CCNCC21,NC(=O)C1C2CCN(C(=O)C(Br)c3ccccc3)CC21,Amidation,,
C152485,1,,,,NC(=O)C1(O)CCCNC1,O=C(O)C1CCc2ccccc21,NC(=O)C1(O)CCCN(C(=O)C2CCc3ccccc32)C1,Amidation,,
C158789,1,,,,Cc1ccccc1CC(=O)O,NC(=O)C1C2CCNCC21,Cc1ccccc1CC(=O)N1CCC2C(C1)C2C(N)=O,Amidation,,
C158791,1,,,,O=C(O)Cc1cccc(O)c1,NC(=O)C1C2CCNCC21,NC(=O)C1C2CCN(C(=O)Cc3cccc(O)c3)CC21,Amidation,,
C158796,1,,,,O=C(O)Cc1ccccc1O,NC(=O)C1C2CCNCC21,NC(=O)C1C2CCN(C(=O)Cc3ccccc3O)CC21,Amidation,,
C125019,1,,,,NC(=O)C1(O)CCCNC1,Cc1ccccc1CC(=O)O,Cc1ccccc1CC(=O)N1CCCC(O)(C(N)=O)C1,Amidation,,
